CustomerID,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,Cluster_Id
13000.0,106,2,91.17000000000002,3,2,3,323,1
13001.0,158,7,717.12,2,4,4,244,3
13003.0,105,3,98.5,3,3,4,334,3
13004.0,77,8,114.96,4,4,4,444,3
13005.0,173,2,37.3,2,2,3,223,0
13012.0,78,4,95.79000000000002,4,4,4,444,3
13013.0,92,7,147.7,3,4,4,344,3
13014.0,74,6,217.3,4,4,4,444,3
13015.0,197,4,98.7,1,4,4,144,0
13016.0,73,3,64.56,4,3,3,433,3
13018.0,72,19,378.78,4,4,4,444,3
13021.0,70,5,121.60000000000001,4,4,4,444,3
13023.0,129,1,15.9,2,1,1,211,0
13026.0,92,3,194.15999999999997,3,3,4,334,3
13027.0,113,5,1344.0,3,4,4,344,3
13029.0,138,1,299.4,2,1,4,214,0
13032.0,87,1,2.5,3,1,1,311,1
13035.0,73,2,117.0,4,2,4,424,1
13037.0,138,3,38.400000000000006,2,3,3,233,0
13038.0,80,2,117.0,4,2,4,424,1
13043.0,273,1,59.8,1,1,3,113,0
13045.0,99,1,17.4,3,1,2,312,1
13046.0,266,1,14.75,1,1,1,111,0
13047.0,127,4,74.15,2,4,3,243,3
13048.0,113,2,32.1,3,2,2,322,1
13050.0,106,6,94.35,3,4,4,344,3
13052.0,212,1,23.85,1,1,2,112,0
13055.0,78,3,43.08,4,3,3,433,3
13058.0,151,1,16.35,2,1,1,211,0
13059.0,249,1,17.700000000000003,1,1,2,112,0
13060.0,253,1,35.400000000000006,1,1,2,112,0
13061.0,72,1,9.959999999999999,4,1,1,411,1
13062.0,191,1,60.48,1,1,3,113,0
13064.0,88,2,45.8,3,2,3,323,1
13067.0,82,1,7.95,4,1,1,411,1
13069.0,99,14,201.62999999999997,3,4,4,344,3
13070.0,192,1,20.8,1,1,2,112,0
13072.0,266,1,15.0,1,1,1,111,0
13075.0,129,1,47.2,2,1,3,213,0
13078.0,82,12,748.5400000000001,4,4,4,444,3
13079.0,75,3,154.7,4,3,4,434,3
13080.0,179,1,3.3600000000000003,2,1,1,211,0
13081.0,143,3,44.46,2,3,3,233,0
13082.0,126,8,154.2,2,4,4,244,3
13083.0,75,1,17.0,4,1,2,412,1
13085.0,157,1,17.0,2,1,2,212,0
13089.0,70,54,2427.14,4,4,4,444,3
13090.0,136,4,237.4,2,4,4,244,3
13092.0,70,4,57.25,4,4,3,443,3
13093.0,275,1,40.8,1,1,3,113,0
13094.0,80,7,505.74,4,4,4,444,3
13095.0,70,1,9.36,4,1,1,411,1
13097.0,77,6,197.01,4,4,4,444,3
13098.0,87,17,946.5999999999999,3,4,4,344,3
13099.0,99,1,207.35999999999999,3,1,4,314,1
13101.0,234,1,9.95,1,1,1,111,0
13102.0,81,13,243.88,4,4,4,444,3
13104.0,85,3,232.92,4,3,4,434,3
13106.0,133,1,76.5,2,1,3,213,0
13107.0,85,2,94.56,4,2,4,424,1
13109.0,157,1,10.5,2,1,1,211,0
13110.0,137,4,54.040000000000006,2,4,3,243,3
13113.0,113,15,2256.15,3,4,4,344,3
13115.0,184,1,7.800000000000001,1,1,1,111,0
13116.0,138,1,25.5,2,1,2,212,0
13117.0,121,4,57.699999999999996,2,4,3,243,3
13118.0,208,2,91.3,1,2,3,123,0
13120.0,238,1,30.599999999999998,1,1,2,112,0
13121.0,269,1,7.6499999999999995,1,1,1,111,0
13122.0,94,2,48.56999999999999,3,2,3,323,1
13124.0,89,2,18.6,3,2,2,322,1
13126.0,72,3,53.099999999999994,4,3,3,433,3
13127.0,77,1,34.68,4,1,2,412,1
13130.0,94,1,39.0,3,1,3,313,1
13131.0,71,2,36.4,4,2,3,423,1
13132.0,261,1,15.299999999999999,1,1,1,111,0
13133.0,273,1,9.95,1,1,1,111,0
13134.0,85,4,125.03999999999999,4,4,4,444,3
13135.0,196,1,3096.0,1,1,4,114,0
13136.0,87,4,91.9,3,4,3,343,3
13137.0,92,4,12.57,3,4,1,341,1
13138.0,80,3,41.120000000000005,4,3,3,433,3
13139.0,72,4,167.02,4,4,4,444,3
13140.0,108,2,33.9,3,2,2,322,1
13141.0,84,3,52.400000000000006,4,3,3,433,3
13145.0,91,2,163.8,3,2,4,324,1
13147.0,99,1,118.80000000000001,3,1,4,314,1
13148.0,133,6,97.6,2,4,4,244,3
13149.0,106,2,25.14,3,2,2,322,1
13155.0,79,1,10.5,4,1,1,411,1
13157.0,141,2,29.0,2,2,2,222,0
13158.0,94,3,65.1,3,3,3,333,3
13159.0,106,2,23.25,3,2,2,322,1
13162.0,122,3,27.03,2,3,2,232,0
13166.0,283,1,2.5,1,1,1,111,0
13167.0,130,2,59.66,2,2,3,223,0
13168.0,199,1,12.75,1,1,1,111,0
13169.0,252,1,15.600000000000001,1,1,1,111,0
13178.0,73,7,187.2,4,4,4,444,3
13183.0,86,6,85.70000000000002,3,4,3,343,3
13184.0,130,8,56.4,2,4,3,243,3
13185.0,267,1,71.4,1,1,3,113,0
13186.0,93,2,44.879999999999995,3,2,3,323,1
13189.0,115,1,4.0,3,1,1,311,1
13192.0,95,2,41.1,3,2,3,323,1
13194.0,135,1,34.0,2,1,2,212,0
13196.0,84,2,50.25000000000001,4,2,3,423,1
13198.0,120,3,61.5,2,3,3,233,3
13199.0,92,14,1238.8,3,4,4,344,3
13200.0,74,2,35.400000000000006,4,2,2,422,1
13203.0,120,2,32.4,2,2,2,222,0
13207.0,150,1,35.400000000000006,2,1,2,212,0
13208.0,155,3,45.55,2,3,3,233,0
13209.0,128,3,79.5,2,3,3,233,3
13210.0,93,1,25.5,3,1,2,312,1
13211.0,95,1,10.5,3,1,1,311,1
13213.0,128,4,127.30000000000001,2,4,4,244,3
13216.0,267,1,69.12,1,1,3,113,0
13217.0,122,3,294.94,2,3,4,234,3
13218.0,127,1,15.0,2,1,1,211,0
13220.0,78,4,344.1,4,4,4,444,3
13221.0,240,1,8.5,1,1,1,111,0
13223.0,200,2,115.80000000000001,1,2,4,124,0
13224.0,151,1,8.82,2,1,1,211,0
13225.0,143,3,702.0,2,3,4,234,3
13226.0,273,1,9.95,1,1,1,111,0
13227.0,201,1,67.5,1,1,3,113,0
13228.0,81,1,179.0,4,1,4,414,1
13229.0,225,1,15.0,1,1,1,111,0
13230.0,138,8,39.73,2,4,3,243,3
13232.0,98,5,41.75,3,4,3,343,3
13233.0,74,1,14.040000000000001,4,1,1,411,1
13235.0,212,1,19.799999999999997,1,1,2,112,0
13236.0,106,1,31.9,3,1,2,312,1
13238.0,163,1,15.0,2,1,1,211,0
13239.0,261,1,18.96,1,1,2,112,0
13240.0,96,3,31.6,3,3,2,332,1
13242.0,112,3,62.400000000000006,3,3,3,333,3
13243.0,203,1,5.1,1,1,1,111,0
13244.0,92,1,4.95,3,1,1,311,1
13246.0,176,2,19.0,2,2,2,222,0
13247.0,82,1,29.700000000000003,4,1,2,412,1
13248.0,124,2,33.36,2,2,2,222,0
13249.0,92,3,302.03999999999996,3,3,4,334,3
13253.0,156,1,27.36,2,1,2,212,0
13258.0,205,1,5.95,1,1,1,111,0
13261.0,268,1,99.0,1,1,4,114,0
13262.0,263,1,6.959999999999999,1,1,1,111,0
13263.0,70,24,137.43,4,4,4,444,3
13265.0,88,4,136.48000000000002,3,4,4,344,3
13266.0,75,9,227.48,4,4,4,444,3
13267.0,92,12,195.96000000000004,3,4,4,344,3
13268.0,84,7,39.72,4,4,3,443,3
13269.0,88,7,162.95,3,4,4,344,3
13272.0,89,1,18.96,3,1,2,312,1
13273.0,113,1,24.900000000000002,3,1,2,312,1
13276.0,99,1,41.6,3,1,3,313,1
13277.0,116,2,74.5,3,2,3,323,1
13279.0,78,1,9.36,4,1,1,411,1
13280.0,122,1,16.5,2,1,2,212,0
13282.0,162,2,121.50000000000001,2,2,4,224,0
13283.0,185,1,8.5,1,1,1,111,0
13285.0,161,2,36.45,2,2,3,223,0
13291.0,155,1,12.450000000000001,2,1,1,211,0
13294.0,189,2,42.0,1,2,3,123,0
13296.0,137,1,15.0,2,1,1,211,0
13299.0,268,1,29.700000000000003,1,1,2,112,0
13300.0,169,1,23.0,2,1,2,212,0
13301.0,103,3,34.92,3,3,2,332,1
13302.0,155,1,63.75,2,1,3,213,0
13305.0,92,6,123.39,3,4,4,344,3
13307.0,120,1,15.0,2,1,1,211,0
13308.0,203,1,15.0,1,1,1,111,0
13309.0,88,2,25.84,3,2,2,322,1
13310.0,206,1,10.2,1,1,1,111,0
13311.0,150,1,5.04,2,1,1,211,0
13313.0,141,2,22.439999999999998,2,2,2,222,0
13314.0,73,1,19.8,4,1,2,412,1
13316.0,79,3,408.72,4,3,4,434,3
13317.0,198,3,90.39999999999999,1,3,3,133,0
13319.0,91,12,312.7,3,4,4,344,3
13320.0,78,4,47.3,4,4,3,443,3
13321.0,72,2,259.04,4,2,4,424,1
13323.0,84,1,29.700000000000003,4,1,2,412,1
13324.0,89,7,541.8,3,4,4,344,3
13325.0,81,1,16.5,4,1,2,412,1
13327.0,112,4,227.8,3,4,4,344,3
13330.0,92,2,42.36,3,2,3,323,1
13334.0,82,2,37.3,4,2,3,423,1
13336.0,77,1,15.299999999999999,4,1,1,411,1
13338.0,157,1,10.2,2,1,1,211,0
13339.0,200,1,17.4,1,1,2,112,0
13340.0,105,5,639.08,3,4,4,344,3
13341.0,260,1,87.6,1,1,3,113,0
13343.0,177,1,19.8,2,1,2,212,0
13344.0,277,1,59.8,1,1,3,113,0
13347.0,70,1,39.599999999999994,4,1,3,413,1
13350.0,79,1,15.9,4,1,1,411,1
13354.0,71,1,10.5,4,1,1,411,1
13355.0,122,1,17.700000000000003,2,1,2,212,0
13356.0,80,1,17.4,4,1,2,412,1
13357.0,257,1,9.9,1,1,1,111,0
13358.0,268,1,17.9,1,1,2,112,0
13362.0,245,1,19.5,1,1,2,112,0
13364.0,71,1,24.96,4,1,2,412,1
13365.0,217,1,51.0,1,1,3,113,0
13368.0,256,1,10.08,1,1,1,111,0
13372.0,89,1,9.95,3,1,1,311,1
13373.0,158,2,30.9,2,2,2,222,0
13375.0,88,1,16.5,3,1,2,312,1
13376.0,99,3,65.69999999999999,3,3,3,333,3
13379.0,136,1,5.04,2,1,1,211,0
13381.0,89,4,99.67999999999999,3,4,4,344,3
13382.0,280,1,15.0,1,1,1,111,0
13384.0,73,5,100.4,4,4,4,444,3
13388.0,131,2,26.1,2,2,2,222,0
13389.0,74,2,20.159999999999997,4,2,2,422,1
13390.0,74,1,15.0,4,1,1,411,1
13391.0,203,1,59.8,1,1,3,113,0
13394.0,78,5,76.77000000000001,4,4,3,443,3
13395.0,185,1,1.92,1,1,1,111,0
13397.0,72,3,262.6,4,3,4,434,3
13398.0,192,1,9.959999999999999,1,1,1,111,0
13402.0,127,1,17.0,2,1,2,212,0
13404.0,212,1,15.0,1,1,1,111,0
13405.0,74,2,40.5,4,2,3,423,1
13408.0,75,37,2913.7400000000002,4,4,4,444,3
13410.0,74,3,103.4,4,3,4,434,3
13411.0,107,1,18.75,3,1,2,312,1
13414.0,133,2,64.65,2,2,3,223,0
13416.0,81,1,29.700000000000003,4,1,2,412,1
13417.0,205,1,23.8,1,1,2,112,0
13418.0,84,11,155.25,4,4,4,444,3
13420.0,149,2,34.2,2,2,2,222,0
13425.0,108,2,31.5,3,2,2,322,1
13426.0,89,4,131.6,3,4,4,344,3
13427.0,120,2,25.5,2,2,2,222,0
13429.0,75,1,25.200000000000003,4,1,2,412,1
13430.0,86,1,4.5600000000000005,3,1,1,311,1
13431.0,88,1,30.0,3,1,2,312,1
13434.0,74,2,187.08,4,2,4,424,1
13435.0,75,4,177.69,4,4,4,444,3
13437.0,99,4,62.22,3,4,3,343,3
13439.0,255,1,6.5,1,1,1,111,0
13441.0,91,1,12.600000000000001,3,1,1,311,1
13448.0,80,2,13.05,4,2,1,421,1
13450.0,89,5,100.56,3,4,4,344,3
13451.0,126,3,16.35,2,3,1,231,0
13452.0,259,2,590.0,1,2,4,124,0
13453.0,165,1,19.9,2,1,2,212,0
13456.0,155,3,245.70000000000005,2,3,4,234,3
13458.0,99,6,129.56,3,4,4,344,3
13461.0,138,2,113.6,2,2,4,224,0
13462.0,252,1,19.8,1,1,2,112,0
13466.0,184,1,17.700000000000003,1,1,2,112,0
13468.0,74,21,543.1099999999999,4,4,4,444,3
13470.0,99,2,33.0,3,2,2,322,1
13474.0,236,1,1.7,1,1,1,111,0
13475.0,191,3,63.18000000000001,1,3,3,133,0
13476.0,178,2,38.7,2,2,3,223,0
13477.0,138,3,41.66,2,3,3,233,0
13479.0,200,2,50.4,1,2,3,123,0
13481.0,108,4,67.15,3,4,3,343,3
13482.0,232,1,17.4,1,1,2,112,0
13484.0,241,1,67.5,1,1,3,113,0
13485.0,233,1,12.5,1,1,1,111,0
13486.0,78,3,40.62,4,3,3,433,3
13487.0,213,1,15.9,1,1,1,111,0
13488.0,72,8,144.14,4,4,4,444,3
13489.0,105,2,85.8,3,2,3,323,1
13491.0,147,4,38.91,2,4,3,243,3
13495.0,232,1,20.4,1,1,2,112,0
13497.0,282,1,24.75,1,1,2,112,0
13499.0,73,3,112.5,4,3,4,434,3
13500.0,122,1,15.0,2,1,1,211,0
13502.0,274,1,9.36,1,1,1,111,0
13503.0,71,1,10.5,4,1,1,411,1
13507.0,98,3,69.1,3,3,3,333,3
13508.0,243,1,15.9,1,1,1,111,0
13509.0,99,4,172.6,3,4,4,344,3
13510.0,95,2,13.54,3,2,1,321,1
13512.0,260,1,17.85,1,1,2,112,0
13513.0,126,1,9.899999999999999,2,1,1,211,0
13514.0,73,1,39.900000000000006,4,1,3,413,1
13515.0,72,4,80.34,4,4,3,443,3
13516.0,72,2,50.34,4,2,3,423,1
13517.0,106,2,34.8,3,2,2,322,1
13518.0,85,1,19.799999999999997,4,1,2,412,1
13519.0,78,1,11.9,4,1,1,411,1
13523.0,199,2,39.4,1,2,3,123,0
13524.0,81,4,135.60000000000002,4,4,4,444,3
13525.0,248,1,232.0,1,1,4,114,0
13527.0,89,5,93.61,3,4,4,344,3
13529.0,78,2,33.2,4,2,2,422,1
13531.0,205,1,41.6,1,1,3,113,0
13533.0,182,3,11.75,2,3,1,231,0
13534.0,107,13,233.93,3,4,4,344,3
13536.0,75,1,10.4,4,1,1,411,1
13538.0,94,5,228.3,3,4,4,344,3
13539.0,85,2,36.7,4,2,3,423,1
13544.0,240,1,5.75,1,1,1,111,0
13546.0,200,1,25.5,1,1,2,112,0
13548.0,96,2,11.049999999999999,3,2,1,321,1
13549.0,142,5,100.6,2,4,4,244,3
13552.0,86,10,236.97,3,4,4,344,3
13555.0,73,4,166.9,4,4,4,444,3
13557.0,280,1,30.0,1,1,2,112,0
13561.0,215,1,2.08,1,1,1,111,0
13562.0,81,3,53.650000000000006,4,3,3,433,3
13563.0,84,2,94.35,4,2,4,424,1
13564.0,144,1,550.64,2,1,4,214,0
13566.0,82,1,1.25,4,1,1,411,1
13568.0,173,1,8.3,2,1,1,211,0
13570.0,243,1,3.9,1,1,1,111,0
13571.0,92,7,58.449999999999996,3,4,3,343,3
13572.0,205,1,17.700000000000003,1,1,2,112,0
13573.0,253,1,0.42,1,1,1,111,0
13575.0,70,3,77.9,4,3,3,433,3
13576.0,71,10,1218.8,4,4,4,444,3
13577.0,92,3,53.4,3,3,3,333,3
13583.0,155,1,9.0,2,1,1,211,0
13588.0,86,5,55.67999999999999,3,4,3,343,3
13589.0,179,1,14.95,2,1,1,211,0
13590.0,150,3,151.06,2,3,4,234,3
13591.0,204,2,39.42,1,2,3,123,0
13592.0,205,3,64.22,1,3,3,133,0
13593.0,108,4,50.900000000000006,3,4,3,343,3
13599.0,84,7,149.12,4,4,4,444,3
13601.0,211,1,16.5,1,1,2,112,0
13606.0,243,1,14.95,1,1,1,111,0
13610.0,110,4,22.39,3,4,2,342,3
13611.0,89,2,34.8,3,2,2,322,1
13614.0,89,2,27.69,3,2,2,322,1
13617.0,113,2,17.75,3,2,2,322,1
13618.0,173,1,6.959999999999999,2,1,1,211,0
13621.0,116,1,4.0,3,1,1,311,1
13623.0,210,3,44.2,1,3,3,133,0
13626.0,252,1,17.4,1,1,2,112,0
13627.0,79,3,57.72,4,3,3,433,3
13629.0,99,6,912.85,3,4,4,344,3
13630.0,75,5,357.40000000000003,4,4,4,444,3
13631.0,99,11,3070.42,3,4,4,344,3
13632.0,173,3,43.77000000000001,2,3,3,233,0
13634.0,86,3,23.0,3,3,2,332,1
13636.0,122,3,68.65,2,3,3,233,3
13637.0,187,2,2.55,1,2,1,121,0
13639.0,74,1,23.4,4,1,2,412,1
13642.0,215,1,4.25,1,1,1,111,0
13643.0,98,2,29.3,3,2,2,322,1
13644.0,73,2,30.6,4,2,2,422,1
13645.0,120,1,19.9,2,1,2,212,0
13647.0,71,3,64.34,4,3,3,433,3
13649.0,256,1,15.299999999999999,1,1,1,111,0
13650.0,88,3,46.5,3,3,3,333,3
13652.0,256,1,27.04,1,1,2,112,0
13654.0,145,4,114.3,2,4,4,244,3
13655.0,114,2,45.8,3,2,3,323,1
13656.0,164,1,8.5,2,1,1,211,0
13657.0,201,1,12.600000000000001,1,1,1,111,0
13658.0,85,3,95.08000000000001,4,3,4,434,3
13659.0,205,1,35.95,1,1,3,113,0
13662.0,85,3,67.8,4,3,3,433,3
13663.0,179,1,16.5,2,1,2,212,0
13667.0,149,1,4.16,2,1,1,211,0
13668.0,113,12,188.42999999999998,3,4,4,344,3
13669.0,149,1,12.75,2,1,1,211,0
13670.0,75,1,16.5,4,1,2,412,1
13675.0,151,1,24.96,2,1,2,212,0
13678.0,151,1,4.8,2,1,1,211,0
13681.0,155,1,25.200000000000003,2,1,2,212,0
13682.0,187,1,25.5,1,1,2,112,0
13686.0,182,1,8.5,2,1,1,211,0
13692.0,213,2,29.9,1,2,2,122,0
13694.0,71,32,4472.68,4,4,4,444,3
13695.0,81,13,478.73,4,4,4,444,3
13699.0,155,1,17.700000000000003,2,1,2,212,0
13700.0,92,6,120.51,3,4,4,344,3
13704.0,73,5,119.30000000000001,4,4,4,444,3
13705.0,144,1,9.899999999999999,2,1,1,211,0
13707.0,267,1,10.2,1,1,1,111,0
13708.0,271,1,4.949999999999999,1,1,1,111,0
13709.0,101,4,153.46000000000004,3,4,4,344,3
13711.0,218,2,55.400000000000006,1,2,3,123,0
13712.0,246,1,15.0,1,1,1,111,0
13715.0,281,1,13.44,1,1,1,111,0
13716.0,269,1,7.5,1,1,1,111,0
13717.0,128,3,36.15,2,3,3,233,3
13718.0,246,1,25.4,1,1,2,112,0
13719.0,205,2,30.0,1,2,2,122,0
13720.0,116,4,144.5,3,4,4,344,3
13722.0,131,3,78.63,2,3,3,233,0
13723.0,217,1,47.2,1,1,3,113,0
13725.0,169,3,55.0,2,3,3,233,0
13726.0,100,1,15.0,3,1,1,311,1
13728.0,107,4,56.84,3,4,3,343,3
13730.0,135,2,37.8,2,2,3,223,0
13731.0,219,2,34.5,1,2,2,122,0
13735.0,175,2,35.7,2,2,3,223,0
13736.0,260,1,9.9,1,1,1,111,0
13737.0,200,1,73.94999999999999,1,1,3,113,0
13740.0,240,1,5.04,1,1,1,111,0
13741.0,71,3,81.85,4,3,3,433,3
13742.0,89,8,170.55,3,4,4,344,3
13743.0,88,6,157.2,3,4,4,344,3
13744.0,95,1,4.68,3,1,1,311,1
13745.0,162,1,9.0,2,1,1,211,0
13748.0,95,4,51.41,3,4,3,343,3
13750.0,140,2,338.19,2,2,4,224,0
13752.0,124,6,203.55,2,4,4,244,3
13754.0,151,1,17.4,2,1,2,212,0
13756.0,93,5,201.90000000000003,3,4,4,344,3
13758.0,201,2,25.049999999999997,1,2,2,122,0
13759.0,71,1,17.4,4,1,2,412,1
13760.0,256,1,2.95,1,1,1,111,0
13761.0,179,1,15.9,2,1,1,211,0
13762.0,218,1,104.39999999999999,1,1,4,114,0
13764.0,70,2,26.84,4,2,2,422,1
13767.0,80,22,891.9400000000002,4,4,4,444,3
13769.0,92,6,213.75,3,4,4,344,3
13771.0,199,2,83.7,1,2,3,123,0
13772.0,96,2,20.2,3,2,2,322,1
13774.0,81,1,19.8,4,1,2,412,1
13777.0,77,13,1971.9600000000003,4,4,4,444,3
13778.0,103,1,8.25,3,1,1,311,1
13780.0,170,1,2.08,2,1,1,211,0
13781.0,250,1,4.25,1,1,1,111,0
13782.0,124,2,32.3,2,2,2,222,0
13784.0,94,6,464.88,3,4,4,344,3
13787.0,75,1,5.9,4,1,1,411,1
13791.0,127,2,469.0,2,2,4,224,0
13798.0,72,34,4648.799999999999,4,4,4,444,3
13799.0,116,1,15.0,3,1,1,311,1
13802.0,138,2,160.0,2,2,4,224,0
13803.0,255,1,17.700000000000003,1,1,2,112,0
13804.0,78,4,99.85,4,4,4,444,3
13805.0,129,1,169.0,2,1,4,214,0
13808.0,93,2,85.08,3,2,3,323,1
13821.0,144,2,31.740000000000002,2,2,2,222,0
13823.0,91,1,16.5,3,1,2,312,1
13824.0,135,3,213.8,2,3,4,234,3
13826.0,176,1,21.9,2,1,2,212,0
13827.0,133,2,8.85,2,2,1,221,0
13831.0,87,4,202.7,3,4,4,344,3
13833.0,159,1,15.9,2,1,1,211,0
13835.0,155,2,48.75,2,2,3,223,0
13837.0,211,1,11.25,1,1,1,111,0
13838.0,117,2,6.7,3,2,1,321,1
13841.0,252,1,85.0,1,1,3,113,0
13842.0,72,5,89.20000000000002,4,4,3,443,3
13846.0,242,1,12.600000000000001,1,1,1,111,0
13848.0,92,1,320.0,3,1,4,314,1
13849.0,170,1,15.0,2,1,1,211,0
13850.0,129,1,17.4,2,1,2,212,0
13851.0,95,2,29.799999999999997,3,2,2,322,1
13854.0,88,14,1990.3600000000001,3,4,4,344,3
13856.0,168,3,177.0,2,3,4,234,3
13860.0,86,1,22.5,3,1,2,312,1
13862.0,72,5,79.5,4,4,3,443,3
13863.0,247,1,11.9,1,1,1,111,0
13865.0,136,2,31.700000000000003,2,2,2,222,0
13866.0,74,1,27.04,4,1,2,412,1
13867.0,74,2,20.4,4,2,2,422,1
13869.0,123,2,26.3,2,2,2,222,0
13870.0,101,4,107.4,3,4,4,344,3
13871.0,92,8,156.30000000000004,3,4,4,344,3
13873.0,119,2,45.8,3,2,3,323,1
13875.0,133,3,88.56,2,3,3,233,0
13877.0,86,1,69.6,3,1,3,313,1
13880.0,87,9,275.69,3,4,4,344,3
13881.0,71,11,997.7000000000002,4,4,4,444,3
13883.0,218,4,61.9,1,4,3,143,0
13884.0,89,4,65.7,3,4,3,343,3
13885.0,189,2,23.4,1,2,2,122,0
13886.0,71,1,10.2,4,1,1,411,1
13887.0,204,1,9.959999999999999,1,1,1,111,0
13888.0,119,2,20.200000000000003,3,2,2,322,1
13889.0,92,1,25.0,3,1,2,312,1
13890.0,107,1,6.959999999999999,3,1,1,311,1
13892.0,246,1,14.040000000000001,1,1,1,111,0
13895.0,143,2,53.25000000000001,2,2,3,223,0
13899.0,274,1,51.0,1,1,3,113,0
